id,code,name,type
1,105,강원도,FORECAST
2,108,전국,FORECAST
3,109,서울,FORECAST
4,109,인천,FORECAST
5,109,경기도,FORECAST
6,131,충청북도,FORECAST
7,133,대전,FORECAST
8,133,세종,FORECAST
9,133,충청남도,FORECAST
10,146,전라북도,FORECAST
11,156,광주,FORECAST
12,156,전라남도,FORECAST
13,143,대구,FORECAST
14,143,경상북도,FORECAST
15,159,부산,FORECAST
16,159,울산,FORECAST
17,159,경상남도,FORECAST
18,184,제주도,FORECAST
19,11B00000,서울,LAND
20,11B00000,인천,LAND
21,11B00000,경기도,LAND
22,11D10000,강원도영서,LAND
23,11D20000,강원도영동,LAND
24,11C20000,대전,LAND
25,11C20000,세종,LAND
26,11C20000,충청남도,LAND
27,11C10000,충청북도,LAND
28,11F20000,광주,LAND
29,11F20000,전라남도,LAND
30,11F10000,전라북도,LAND
31,11H10000,대구,LAND
32,11H10000,경상북도,LAND
33,11H20000,부산,LAND
34,11H20000,울산,LAND
35,11H20000,경상남도,LAND
36,11G00000,제주도,LAND
37,12A20000,서해중부,SEA
38,12A30000,서해남부,SEA
39,12B10000,남해서부,SEA
40,12B20000,남해동부,SEA
41,12C10000,동해남부,SEA
42,12C20000,동해중부,SEA
43,12C30000,동해북부,SEA
44,12A10000,서해북부,SEA
45,12B10500,제주도,SEA
46,12D00000,대화퇴,SEA
47,12E00000,동중국해,SEA
48,12F00000,규슈,SEA
49,12G00000,연해주,SEA
50,11A00101,백령도,TEMPERATURE
51,11B10101,서울,TEMPERATURE
52,11B10102,과천,TEMPERATURE
53,11B10103,광명,TEMPERATURE
54,11B20101,강화,TEMPERATURE
55,11B20102,김포,TEMPERATURE
56,11B20201,인천,TEMPERATURE
57,11B20202,시흥,TEMPERATURE
58,11B20203,안산,TEMPERATURE
59,11B20204,부천,TEMPERATURE
60,11B20301,의정부,TEMPERATURE
61,11B20302,고양,TEMPERATURE
62,11B20304,양주,TEMPERATURE
63,11B20305,파주,TEMPERATURE
64,11B20401,동두천,TEMPERATURE
65,11B20402,연천,TEMPERATURE
66,11B20403,포천,TEMPERATURE
67,11B20404,가평,TEMPERATURE
68,11B20501,구리,TEMPERATURE
69,11B20502,남양주,TEMPERATURE
70,11B20503,양평,TEMPERATURE
71,11B20504,하남,TEMPERATURE
72,11B20601,수원,TEMPERATURE
73,11B20602,안양,TEMPERATURE
74,11B20603,오산,TEMPERATURE
75,11B20604,화성,TEMPERATURE
76,11B20605,성남,TEMPERATURE
77,11B20606,평택,TEMPERATURE
78,11B20609,의왕,TEMPERATURE
79,11B20610,군포,TEMPERATURE
80,11B20611,안성,TEMPERATURE
81,11B20612,용인,TEMPERATURE
82,11B20701,이천,TEMPERATURE
83,11B20702,광주,TEMPERATURE
84,11B20703,여주,TEMPERATURE
85,11C10101,충주,TEMPERATURE
86,11C10102,진천,TEMPERATURE
87,11C10103,음성,TEMPERATURE
88,11C10201,제천,TEMPERATURE
89,11C10202,단양,TEMPERATURE
90,11C10301,청주,TEMPERATURE
91,11C10302,보은,TEMPERATURE
92,11C10303,괴산,TEMPERATURE
93,11C10304,증평,TEMPERATURE
94,11C10401,추풍령,TEMPERATURE
95,11C10402,영동,TEMPERATURE
96,11C10403,옥천,TEMPERATURE
97,11C20101,서산,TEMPERATURE
98,11C20102,태안,TEMPERATURE
99,11C20103,당진,TEMPERATURE
100,11C20104,홍성,TEMPERATURE
101,11C20201,보령,TEMPERATURE
102,11C20202,서천,TEMPERATURE
103,11C20301,천안,TEMPERATURE
104,11C20302,아산,TEMPERATURE
105,11C20303,예산,TEMPERATURE
106,11C20401,대전,TEMPERATURE
107,11C20402,공주,TEMPERATURE
108,11C20403,계룡,TEMPERATURE
109,11C20404,세종,TEMPERATURE
110,11C20501,부여,TEMPERATURE
111,11C20502,청양,TEMPERATURE
112,11C20601,금산,TEMPERATURE
113,11C20602,논산,TEMPERATURE
114,11D10101,철원,TEMPERATURE
115,11D10102,화천,TEMPERATURE
116,11D10201,인제,TEMPERATURE
117,11D10202,양구,TEMPERATURE
118,11D10301,춘천,TEMPERATURE
119,11D10302,홍천,TEMPERATURE
120,11D10401,원주,TEMPERATURE
121,11D10402,횡성,TEMPERATURE
122,11D10501,영월,TEMPERATURE
123,11D10502,정선,TEMPERATURE
124,11D10503,평창,TEMPERATURE
125,11D20201,대관령,TEMPERATURE
126,11D20301,태백,TEMPERATURE
127,11D20401,속초,TEMPERATURE
128,11D20402,고성,TEMPERATURE
